time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449000000	19.2571	16.4058	4.71629	2.08645	0.568223	lidar	0.974086	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1364	16.6047	4.71174	2.11741	0.57249	radar	0.343097	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0085	16.8103	4.71991	2.14619	0.5724	lidar	0.0459247	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.853	17.0041	4.72967	2.19679	0.608175	radar	7.05491	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6875	17.2289	4.78094	2.22996	0.609194	lidar	1.61286	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5786	17.4308	4.77133	2.23027	0.563973	radar	5.59857	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3701	17.6156	4.8051	2.27614	0.578672	lidar	4.07828	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2324	17.8042	4.79825	2.28757	0.551257	radar	2.62055	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0963	17.9899	4.78999	2.30726	0.544535	lidar	0.846515	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9214	18.1479	4.78168	2.34528	0.55977	radar	1.78419	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7825	18.2955	4.73967	2.3687	0.556864	lidar	1.13114	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6464	18.4773	4.73045	2.37916	0.536594	radar	6.84203	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.455	18.6519	4.75703	2.40811	0.537779	lidar	0.42992	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.274	18.7959	4.74744	2.43971	0.544044	radar	1.66595	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1082	18.9341	4.72213	2.46516	0.54313	lidar	0.386391	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
